
|    254042 | Canario                   | Kira      | MACHO   |      3 | Isabela         | 52 646 1698724  | 
|    251503 | Gallo                     | Duke      | MACHO   |     17 | Diego           | 52 646 7198738  | 
|    186989 | SerpienteCornSnake        | Oso       | HEMBRA  |     12 | Paola           | 52 646 2139545  | 
|    310536 | Faisan                    | Sasha     | MACHO   |      9 | Laura           | 52 646 1329815  | 
|    386219 | RatonDomestico            | Rita      | HEMBRA  |     15 | Andres          | 52 646 5381100  | 
|    289129 | Conejo                    | Luna      | MACHO   |     12 | Emilio          | 52 646 7770541  | 
|    276714 | GeckoLeopardo             | Bimba     | MACHO   |     12 | Martina         | 52 646 3964046  | 
|    326225 | MaineCoon                 | Puca      | MACHO   |      3 | Diego           | 52 646 6897828  | 
|    231116 | HurónEuropeo             | Candy     | MACHO   |      0 | Daniela         | 52 646 3191561  | 
|    308278 | Canario                   | Tina      | MACHO   |      2 | Sergio          | 52 646 0348701  | 
|    179688 | CanarioRizado             | Toby      | HEMBRA  |     18 | Hugo            | 52 646 6175946  | 
|    281787 | CobayaAmericana           | Canelita  | MACHO   |      5 | Martina         | 52 646 1413552  | 
|    329077 | HurónEuropeo             | Sultán   | MACHO   |      7 | Camila          | 52 646 4720744  | 
|    334626 | Huron                     | Firulais  | MACHO   |     16 | Isabela         | 52 646 8320117  | 
|    102379 | Loro                      | Otto      | MACHO   |      4 | Cecilia         | 52 646 5612435  | 
|    305221 | Paloma                    | Hachi     | MACHO   |      2 | Cecilia         | 52 646 7123092  | 
|    374309 | RatonDomestico            | Sultan    | MACHO   |     10 | Santiago        | 52 646 0429986  | 
|    265928 | Guppy                     | Lola      | MACHO   |      1 | Hector          | 52 646 5344477  | 
|    192895 | PezBetta                  | Toby      | MACHO   |     13 | Carolina        | 52 646 9087170  | 
|    219746 | CanarioRizado             | Apolo     | HEMBRA  |     11 | Natalia         | 52 646 2196792  | 
|    272843 | SerpienteCornSnake        | Ramses    | MACHO   |      1 | Angel           | 52 646 4551362  | 
|    399509 | Erizo                     | Duna      | HEMBRA  |      7 | Fernando        | 52 646 5832229  | 
|    159651 | TortugaTerrestre          | Oso       | MACHO   |     12 | Alfonso         | 52 646 3713170  | 
|    355760 | Siamés                   | Maya      | HEMBRA  |     14 | Monica          | 52 646 0194258  | 
|    105009 | HurónEuropeo             | Duke      | HEMBRA  |      1 | Camila          | 52 646 4544632  | 
|    324894 | Labrador                  | Rex       | HEMBRA  |     10 | Hugo            | 52 646 9862731  | 
|    276050 | SerpienteCornSnake        | Bobby     | MACHO   |      8 | Cristian        | 52 646 6341325  | 
|    121967 | PezGoldfish               | Bella     | HEMBRA  |     16 | Daniela         | 52 646 5127154  | 
|    373181 | Cobaya                    | Bimba     | HEMBRA  |      3 | Maria           | 52 646 4741767  | 
|    304918 | PezGoldfish               | Kira      | HEMBRA  |     14 | Alfonso         | 52 646 3573915  | 
|    227561 | Cobaya                    | Maya      | HEMBRA  |     12 | Natalia         | 52 646 0567919  | 
|    107505 | Camaleon                  | Rocco     | HEMBRA  |      8 | Cecilia         | 52 646 7957672  | 
|    341456 | CanarioRizado             | Max       | MACHO   |      8 | Daniela         | 52 646 7396912  | 
|    247268 | Axolote                   | Kovu      | HEMBRA  |      5 | Roberto         | 52 646 3070863  | 
|    102866 | PastorAleman              | Bobby     | MACHO   |     19 | Roberto         | 52 646 2169752  | 
|    213954 | CobayaAmericana           | Simba     | MACHO   |      0 | Manuel          | 52 646 5501039  | 
|    113603 | Tucan                     | Kira      | MACHO   |     12 | Martina         | 52 646 6020545  | 
|    297656 | Huron                     | Canelita  | MACHO   |     19 | Juliana         | 52 646 9705798  | 
|    382830 | Perro                     | Layla     | HEMBRA  |      3 | Manuel          | 52 646 9574409  | 
